state,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
AL,0.1,0.18,0.25,0.33,0.37,0.4,0.44,0.49,0.55,0.61,0.67,0.74,0.82,0.91,1,1.1,1.21,1.32,1.45
AR,0.01,0.03,0.07,0.13,0.2,0.31,0.52,0.9,1.54,2.6,4.42,7.58,12.71,20.58,34.11,55.49,87.92,133.69,197.88
AZ,855.88,1332.55,2256.05,3782.72,4711.34,5426.27,6012.24,6631.19,7099.97,7400.75,7832.1,8147.61,8378.04,8575.04,8714.01,8854.16,8961.2,9039.36,9111.67
CA,3240.89,5575.69,9190.06,13423.16,16396,18727.94,21316.75,23704.95,25947.34,28022.67,29754.13,31123.87,32434.97,33669.74,34592.18,35270.61,35827.1,36322.65,36676.09
CO,203.72,265.26,397.45,651.68,941.65,1304.6,1794.16,2294.06,2821.65,3342.28,3791.91,4182.68,4562.71,4849.31,5068.45,5253.42,5413.13,5552.73,5649.3
CT,91.42,202.61,443.94,908.91,1421.85,1839.9,2191.55,2453.23,2693.88,2900.57,3087.81,3264.33,3443.82,3664.21,3869.56,4047.31,4200.82,4353.56,4467.46
DC,13.16,21.33,30.11,41.66,51.54,64.95,82.53,103.51,124.82,149.44,176.93,203.48,233.5,253.88,278.51,302.49,322.6,335.85,355.6
DE,27.57,38.95,56.77,84.99,128.27,195.16,291.08,420.88,576.25,748.16,922.67,1093.61,1235.77,1375.58,1481.26,1575.16,1655.29,1731.11,1811.85
FL,104.15,183.11,315.79,526.42,873.05,1459.72,2404.57,3901.18,6100.27,8991.39,12525.15,16213.86,19877.74,23113.65,25793.71,27712.66,29342.68,30580.05,31517.86
GA,40.91,81.76,188.84,432.18,879.32,1528.91,2274.58,2997.56,3641.77,4277.32,4983.09,5897.25,7062.83,8520.56,10036.28,11462.4,12731.73,13749.92,14589.12
IA,0,0.01,0.03,0.13,0.54,2.35,9.82,29.97,101.57,288.75,582.53,978.09,1534.39,2230.78,2886.73,3318.02,3674.87,3916.93,4087.92
ID,0.01,0.04,0.08,0.16,0.24,0.38,0.63,1.07,1.8,3.02,5.05,8.46,13.9,22.9,36.59,55.49,82.55,111.17,150.24
IL,15.45,20.81,28.43,35.97,45.14,57.14,76.64,104.95,146.96,206.98,289.54,407.35,567.48,786.06,1064.86,1413.05,1831.88,2314.35,2840.55
IN,0.18,0.44,0.84,1.42,2.18,3.33,5.09,7.81,11.98,18.53,29,46.05,74.86,125.11,211.58,361.46,619.15,1034.73,1658.01
KS,0.58,1.31,2.51,4.59,8.37,17.19,39.59,98.26,243.24,548.12,996,1456.06,1903.02,2285.07,2667.51,2967.12,3244.98,3475.29,3673.15
KY,0.06,0.13,0.25,0.45,0.74,1.22,2.02,3.34,5.48,8.96,14.56,23.46,37.41,59.88,93.15,143,213.64,311.45,439.09
LA,3.87,16.11,64.29,232.04,718.62,1511.96,2394.34,3121.14,3856.93,4660.72,5681.72,6834.6,7908.61,9040.95,9785.28,10229.22,10570.61,10847.53,11076.63
MA,389.82,909.09,1927.35,3439.98,3817.74,4038.39,4336.46,4722.57,5065.08,5325.38,5528.09,5706.5,5878.69,6053.2,6172.86,6254.75,6322.13,6388.83,6455.5
MD,171.04,381.38,926.31,2108.19,3147.3,4007.3,4952.51,5953.56,6932.1,7722.76,8415.18,9039.56,9470.27,9958.09,10302.06,10548.49,10724.55,10874.72,11017.75
ME,9.84,22.18,44.69,95.46,173.81,283.65,414.36,572.26,730.82,883.15,1011.82,1122.08,1225.76,1330.73,1393.12,1438.1,1472.58,1501.31,1523.84
MI,0.62,1.4,2.48,4.08,6.56,10.39,16.07,24.6,36.15,54.36,82.1,124.5,187.54,280.34,417.21,616.26,896.89,1271.78,1799.65
MN,0.01,0.05,0.14,0.35,0.77,1.76,4.2,10.11,23.34,52.92,110.5,203.35,326.14,464.73,600.15,741.31,911.57,1132.19,1421.82
MO,51.03,194.66,507.08,1090.68,1302.38,1517.21,1864.71,2311.96,2869.42,3394.08,3811.03,4261.01,4733.15,5148.16,5465.89,5674.31,5827.23,5974,6120.88
MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01
MT,0.96,1.59,2.41,3.42,4.31,5.34,6.75,8.61,10.94,13.89,17.53,22.25,28.23,35.9,45.33,56.99,71.37,89.4,111.61
NC,101.67,244.7,749.89,2065.87,3263.73,4544.06,6257.5,7844.2,9456.02,10725.55,11814.63,12902.11,13985.39,15070.98,15759.04,16197.25,16520.64,16803.7,17052.54
ND,0.03,0.04,0.06,0.08,0.09,0.09,0.1,0.12,0.15,0.19,0.23,0.29,0.37,0.46,0.55,0.65,0.76,0.86,0.98
NE,0.11,0.26,0.45,0.73,1.11,1.71,2.75,4.58,7.83,13.78,24.78,45.06,80.92,140.56,227.37,340.13,478.78,636.75,814.91
NH,0.72,1.67,3.37,5.63,9.85,18.45,34.07,61.64,109.65,191.22,318.09,511.41,772.43,1055.77,1295.59,1489.04,1617.96,1720.34,1796.79
NJ,1014.51,1277.42,1759.26,2568.71,3688.01,4955.33,6124.3,7195.66,7559.87,7960.48,8311.56,8653.93,8953.34,9268.29,9483.99,9657.53,9794.5,9901.99,10019.38
NM,65.97,146.81,336.55,684.84,994.68,1266.72,1549.26,1749.89,1925.93,2088.11,2216.68,2332.28,2437.95,2530.63,2591.65,2632.97,2662.03,2694.07,2717.15
NV,69.17,121.23,242.41,487.43,606.61,785.64,977.73,1142.25,1275.01,1401.22,1524.86,1634.3,1723.76,1813.46,1904.32,1980.33,2040.27,2109.81,2174.77
NY,384.98,1016.76,2636.42,5027.25,6333.39,7095,7815.69,8386.29,8873.18,9195.83,9476.85,9706.76,9917.71,10097.2,10218.04,10319.65,10405.38,10460.18,10520.47
OH,50.03,56.65,66.21,80.48,101.3,133.85,180.38,255.38,373.04,561.06,852.64,1305.27,1972.2,2923.35,4155.54,5590.53,7121.95,8626.85,9977.63
OK,0.18,0.45,0.99,1.98,3.78,7.22,13.72,26.13,49.38,92.58,167.76,296.01,492.37,781.53,1145.34,1562.86,2006.33,2450.62,2929.16
OR,79.93,106.15,147.07,216.63,285.98,376.07,489.58,637.32,830.64,1033.13,1232.78,1446.61,1667.39,1930.17,2184.03,2414.47,2640.29,2848.43,3023.21
PA,219.39,257.58,307.52,369.77,448.64,543.1,661.16,811.97,1000.11,1235.76,1520.84,1878.84,2305.56,2827.18,3442.47,4152.79,4947.23,5840.59,6834.84
RI,0.32,0.71,1.3,2.17,3.67,6.16,10.08,16.24,26.01,41.76,62.76,95.17,145.34,216.76,310.89,419.25,545.43,689.65,817.21
SC,0.01,0.04,0.11,0.31,0.78,2.07,5.5,14.91,39.8,105.85,266.78,630.65,1255.92,2210.35,3409.69,4863.69,6404.19,7835.51,8974.39
SD,0.03,0.06,0.11,0.17,0.22,0.26,0.33,0.41,0.52,0.66,0.84,1.06,1.35,1.73,2.22,2.86,3.66,4.75,6.26
TN,43.85,54.51,71.35,88.99,112.41,141.24,182.45,237.91,310.23,403.77,518.09,655.81,803.13,959.68,1121.32,1285.46,1430.99,1561.77,1674.21
TX,94.56,190.6,417.59,983.32,1795.27,2852.37,4342.95,5809.55,7140.87,8448.12,9651.8,10735.32,11945.42,13174.19,14064.53,14689.13,15203.2,15613.72,16071.82
UT,0.12,0.36,0.99,2.78,5.98,13.45,33.22,79.07,171.62,328.74,586.71,929.01,1258.5,1606.14,1837.67,1969.88,2100.23,2219.55,2356.1
VA,0.38,0.94,1.87,3.35,5.33,8.45,13.59,22.05,35.61,57.87,93.46,152.38,248.41,404.88,648.39,1016.57,1550.96,2290.65,3251.74
VT,19.01,35.08,59.59,109.82,173.96,252.25,346.8,439.44,525.29,593.7,650.89,692.35,730.37,765.01,791.09,808.73,821.6,835.71,844.3
WA,34.18,52.72,76.57,89.53,98.21,108.65,124.03,147.97,179.6,223.24,280.49,349.22,435.23,544.11,659.54,784.45,913.51,1049.59,1184.92
WI,23.07,33.11,48.61,70.35,101.27,149.78,224.08,335.39,497.49,728.56,1047.84,1477.77,2014.33,2670.9,3361.95,4032.43,4666.88,5213.02,5693.59
WV,0.41,0.73,1.16,1.76,2.26,2.94,3.95,5.53,7.69,10.65,14.54,19.72,26.47,35.46,46.83,61.14,79.1,101.38,129
WY,0.17,0.43,0.85,1.43,1.99,2.73,3.87,5.54,7.77,10.81,15.18,21.31,29.82,42.16,58.92,82.46,116.13,162.65,224.91
