year,batt_capex_per_kwh_res,batt_capex_per_kw_res,batt_capex_per_kwh_nonres,batt_capex_per_kw_nonres,batt_om_per_kw_res,batt_om_per_kwh_res,batt_om_per_kw_nonres,batt_om_per_kwh_nonres,batt_replace_frac_kw,batt_replace_frac_kwh
2014,961.0063769,2916.441915,536.2758799,1626.457673,0,0,0,0,0.174,1
2015,961.0063769,2916.441915,536.2758799,1626.457673,0,0,0,0,0.174,1
2016,896,2869,500,1600,0,0,0,0,0.174,1
2017,830.9936241,2821.558085,463.7241206,1573.542327,0,0,0,0,0.174,1
2018,765.9872472,2774.11617,427.4482406,1547.084654,0,0,0,0,0.174,1
2019,700.9808713,2726.674251,391.1723612,1520.626979,0,0,0,0,0.174,1
2020,635.9744945,2679.232336,354.8964813,1494.169306,0,0,0,0,0.174,1
2021,608.8551319,2631.790421,339.7629084,1467.711633,0,0,0,0,0.174,1
2022,581.7357683,2584.348506,324.629335,1441.253959,0,0,0,0,0.174,1
2023,554.6164058,2536.906591,309.4957621,1414.796286,0,0,0,0,0.174,1
2024,527.4970422,2489.464675,294.3621887,1388.338613,0,0,0,0,0.174,1
2025,500.3776796,2442.02276,279.2286159,1361.88094,0,0,0,0,0.174,1
2026,490.8769947,2394.580845,273.9268944,1335.423267,0,0,0,0,0.174,1
2027,481.3763098,2347.138927,268.6251729,1308.965592,0,0,0,0,0.174,1
2028,471.8756249,2299.697012,263.3234514,1282.507919,0,0,0,0,0.174,1
2029,462.37494,2252.255096,258.0217299,1256.050246,0,0,0,0,0.174,1
2030,452.8742551,2204.813181,252.7200084,1229.592572,0,0,0,0,0.174,1
2031,448.2091265,2157.371266,250.1167001,1203.134899,0,0,0,0,0.174,1
2032,443.543997,2109.929351,247.5133912,1176.677226,0,0,0,0,0.174,1
2033,438.8788684,2062.487436,244.9100828,1150.219553,0,0,0,0,0.174,1
2034,434.2137389,2015.045518,242.3067739,1123.761878,0,0,0,0,0.174,1
2035,429.5486103,1967.603602,239.7034656,1097.304205,0,0,0,0,0.174,1
2036,427.4505469,1920.161687,238.5326713,1070.846532,0,0,0,0,0.174,1
2037,425.3524845,1872.719772,237.3618775,1044.388859,0,0,0,0,0.174,1
2038,423.2544221,1825.277857,236.1910838,1017.931185,0,0,0,0,0.174,1
2039,421.1563588,1777.835942,235.0202895,991.4735122,0,0,0,0,0.174,1
2040,419.0582964,1730.394026,233.8494958,965.015839,0,0,0,0,0.174,1
2041,415.4876609,1730.394026,231.8569536,965.015839,0,0,0,0,0.174,1
2042,411.9170253,1730.394026,229.8644115,965.015839,0,0,0,0,0.174,1
2043,408.3463898,1730.394026,227.8718693,965.015839,0,0,0,0,0.174,1
2044,404.7757543,1730.394026,225.8793272,965.015839,0,0,0,0,0.174,1
2045,401.2051187,1730.394026,223.886785,965.015839,0,0,0,0,0.174,1
2046,397.9006435,1730.394026,222.0427698,965.015839,0,0,0,0,0.174,1
2047,394.5961674,1730.394026,220.1987541,965.015839,0,0,0,0,0.174,1
2048,391.2916912,1730.394026,218.3547384,965.015839,0,0,0,0,0.174,1
2049,387.987216,1730.394026,216.5107232,965.015839,0,0,0,0,0.174,1
2050,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2051,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2052,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2053,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2054,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2055,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2056,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2057,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2058,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2059,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2060,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2061,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2062,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2063,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2064,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2065,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2066,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2067,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2068,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2069,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2070,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2071,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2072,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2073,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2074,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1
2075,384.6827398,1730.394026,214.6667075,965.015839,0,0,0,0,0.174,1