year,pv_kw_per_sqft_res,pv_kw_per_sqft_com,pv_kw_per_sqft_ind,pv_degradation_factor_res,pv_degradation_factor_com,pv_degradation_factor_ind
2014,0.013935469,0.013935469,0.013935469,0.005,0.005,0.005
2015,0.014709662,0.014709662,0.014709662,0.005,0.005,0.005
2016,0.015483855,0.015483855,0.015483855,0.005,0.005,0.005
2017,0.016258048,0.016258048,0.016258048,0.005,0.005,0.005
2018,0.01654837,0.01654837,0.01654837,0.005,0.005,0.005
2019,0.016838692,0.016838692,0.016838692,0.005,0.005,0.005
2020,0.017129015,0.017129015,0.017129015,0.005,0.005,0.005
2021,0.017419337,0.017419337,0.017419337,0.005,0.005,0.005
2022,0.017709659,0.017709659,0.017709659,0.005,0.005,0.005
2023,0.017999981,0.017999981,0.017999981,0.005,0.005,0.005
2024,0.018290304,0.018290304,0.018290304,0.005,0.005,0.005
2025,0.018580626,0.018580626,0.018580626,0.005,0.005,0.005
2026,0.018890303,0.018890303,0.018890303,0.005,0.005,0.005
2027,0.01919998,0.01919998,0.01919998,0.005,0.005,0.005
2028,0.019509657,0.019509657,0.019509657,0.005,0.005,0.005
2029,0.019819334,0.019819334,0.019819334,0.005,0.005,0.005
2030,0.020129011,0.020129011,0.020129011,0.005,0.005,0.005
2031,0.020438689,0.020438689,0.020438689,0.005,0.005,0.005
2032,0.020748366,0.020748366,0.020748366,0.005,0.005,0.005
2033,0.021058043,0.021058043,0.021058043,0.005,0.005,0.005
2034,0.02136772,0.02136772,0.02136772,0.005,0.005,0.005
2035,0.021677397,0.021677397,0.021677397,0.005,0.005,0.005
2036,0.021987074,0.021987074,0.021987074,0.005,0.005,0.005
2037,0.022296751,0.022296751,0.022296751,0.005,0.005,0.005
2038,0.022606428,0.022606428,0.022606428,0.005,0.005,0.005
2039,0.022916105,0.022916105,0.022916105,0.005,0.005,0.005
2040,0.023225782,0.023225782,0.023225782,0.005,0.005,0.005
2041,0.023690298,0.023690298,0.023690298,0.005,0.005,0.005
2042,0.024154814,0.024154814,0.024154814,0.005,0.005,0.005
2043,0.024619329,0.024619329,0.024619329,0.005,0.005,0.005
2044,0.025083845,0.025083845,0.025083845,0.005,0.005,0.005
2045,0.025548361,0.025548361,0.025548361,0.005,0.005,0.005
2046,0.026012876,0.026012876,0.026012876,0.005,0.005,0.005
2047,0.026477392,0.026477392,0.026477392,0.005,0.005,0.005
2048,0.026941908,0.026941908,0.026941908,0.005,0.005,0.005
2049,0.027406423,0.027406423,0.027406423,0.005,0.005,0.005
2050,0.027870939,0.027870939,0.027870939,0.005,0.005,0.005